borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BROOKLYN,3106543,421,MAPLE STREET,321384676,11225,2019-11-06,CORPORATION,N,40.661058,-73.947088
BROOKLYN,3183165,2218,OCEAN AVE,321788044,11229,2019-10-30,CORPORATION,N,40.607614,-73.952976
BROOKLYN,3428531,138,BAY 29TH STREET,321968331,11214,2019-10-30,CORPORATION,N,40.599708,-73.997407
BROOKLYN,3426503,60,FRONT STREET,321384364,11201,2019-10-30,PARTNERSHIP,Y,40.70253,-73.990536
BROOKLYN,3426449,234,EXETER STREET,321385238,11235,2019-10-30,INDIVIDUAL,N,40.576445,-73.948066
BROOKLYN,3107091,571,ALBANY AVE,321383230,11203,2019-10-30,INDIVIDUAL,N,40.660635,-73.939783
BROOKLYN,3428537,352,RUTLAND ROAD,322060354,11225,2019-11-01,CORPORATION,N,40.659486,-73.949068
BROOKLYN,3425506,163,MACDOUGAL STREET,321191651,11233,2019-11-04,CORPORATION,N,40.679832,-73.914888
BROOKLYN,3175068,1651,EAST 7 STREET,321844215,11230,2019-11-04,INDIVIDUAL,N,40.610583,-73.966483
BROOKLYN,3065398,183,MCGUINNESS BLVD,321550754,11222,2019-11-04,CORPORATION,N,40.728548,-73.950419
BROOKLYN,3325006,689,QUINCY STREET,321189922,11221,2019-11-04,CORPORATION,N,40.689206,-73.931193
BROOKLYN,3338719,435,TOMPKINS AVENUE,321385602,11216,2019-11-06,PARTNERSHIP,N,40.682619,-73.943754
BROOKLYN,3122440,49,EAST 4TH STREET,322067348,11218,2019-11-06,PARTNERSHIP,N,40.651536,-73.977991
BROOKLYN,3426643,2175,BERGEN STREET,321915718,11233,2019-11-07,CORPORATION,N,40.673819,-73.908147
BROOKLYN,3325707,148,BLEECKER STREET,321930014,11221,2019-11-08,CORPORATION,N,40.69625,-73.920104
BROOKLYN,3156095,435,100TH STREET,321913284,11209,2019-11-13,INDIVIDUAL,N,40.612494,-74.032938
BROOKLYN,3083402,253,MOTHER GASTON,320912134,11212,2019-11-13,PARTNERSHIP,N,40.673201,-73.90777
BROOKLYN,3426667,2706,GLENWOOD RD,321759450,11210,2019-11-14,PARTNERSHIP,N,40.633724,-73.950713
BROOKLYN,3427195,2708,GLENWOOD RD,321759511,11210,2019-11-14,PARTNERSHIP,N,40.63373,-73.950702
BROOKLYN,3068086,443,GRAHAM AVENUE,321843289,11211,2019-11-14,CORPORATION,N,40.718459,-73.94504
BROOKLYN,3426118,305,KINGSLAND AVE,321813640,11222,2020-02-11,CORPORATION,N,40.726966,-73.941873
BROOKLYN,3083220,2741,FULTON STREET,321681505,11207,2019-11-15,CORPORATION,N,40.677791,-73.893349
BROOKLYN,3062488,340,METROPOLITAN AVENUE,320911947,11211,2019-11-15,CORPORATION,N,40.714278,-73.956753
BROOKLYN,3132096,1726,60 STREET,321415278,11204,2019-11-18,INDIVIDUAL,N,40.622912,-73.988746
BROOKLYN,3126366,1622,43 STREET,321949095,11204,2019-11-18,INDIVIDUAL,N,40.633934,-73.981265
BROOKLYN,3426087,150,BAYARD ST,321644538,11222,2019-11-19,CORPORATION,N,40.720004,-73.94628
BROOKLYN,3062539,56,AINSLIE STREET,320912312,11211,2019-11-19,CORPORATION,N,40.712838,-73.952721
BROOKLYN,3141483,1058,62ND STREET,321833646,11219,2019-11-20,CORPORATION,N,40.630935,-74.005101
BROOKLYN,3210671,1901,OCEAN AVE,322064902,11230,2019-11-26,INDIVIDUAL,N,40.61535,-73.954422
BROOKLYN,3107783,319,LENOX RD,320911876,11226,2019-11-27,INDIVIDUAL,N,40.654235,-73.948741
BROOKLYN,3081797,802,HOWARD AVENUE,321197423,11212,2019-11-27,CORPORATION,N,40.662203,-73.918584
BROOKLYN,3425941,353,MILLER AVE,321721320,11207,2019-11-27,CORPORATION,N,40.672163,-73.891095
BROOKLYN,3128762,54,WEBSTER AVE,321553840,11230,2019-11-29,PARTNERSHIP,N,40.62958,-73.977588
BROOKLYN,3428919,169,HURON STREET,321384701,11222,2019-12-03,PARTNERSHIP,N,40.733089,-73.954219
BROOKLYN,3427185,1690,PACIFIC ST,321189469,11213,2019-12-04,CORPORATION,N,40.676698,-73.932395
BROOKLYN,3330819,1692,PACIFIC ST,321189478,11213,2019-12-04,CORPORATION,N,40.676693,-73.932338
BROOKLYN,3069032,183,AINSLIE STREET,321930087,11211,2019-12-04,INDIVIDUAL,N,40.712841,-73.946827
BROOKLYN,3170530,874,EAST 9 STREET,321921514,11230,2019-12-05,CORPORATION,N,40.627489,-73.967664
BROOKLYN,3116648,150,LENOX ROAD,321069197,11226,2019-12-09,CORPORATION,N,40.653867,-73.954518
BROOKLYN,3395649,108,KING STREET,321961846,11231,2019-12-05,CORPORATION,N,40.677854,-74.01087
BROOKLYN,3086779,33,HALE AVENUE,321938052,11208,2019-12-06,INDIVIDUAL,N,40.684732,-73.88104
BROOKLYN,3426559,586,EAST 32 STREET,321386585,11210,2019-12-09,INDIVIDUAL,N,40.63664,-73.946153
BROOKLYN,3038661,126,SACKMAN STREET,321387290,11233,2019-12-10,CORPORATION,Y,40.675426,-73.906198
BROOKLYN,3141341,1432,60 STREET,321949825,11219,2019-12-10,PARTNERSHIP,N,40.627002,-73.995522
BROOKLYN,3068905,183,DEVOE STREET,321449241,11211,2019-12-10,INDIVIDUAL,N,40.713912,-73.943114
BROOKLYN,3247272,2733,EAST 27TH STREET,321921523,11235,2019-12-12,PARTNERSHIP,N,40.586406,-73.94211
BROOKLYN,3428693,1905,EAST 16 STREET,322001383,11229,2019-12-13,CORPORATION,N,40.603155,-73.956263
BROOKLYN,3428695,1911,EAST 16 STREET,322001356,11229,2019-12-13,CORPORATION,N,40.603054,-73.956242
BROOKLYN,3041627,146,MACDOUGAL STREET,321385309,11233,2019-12-13,INDIVIDUAL,N,40.679805,-73.914978
