borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
BRONX,2823631,368,EAST 152 STREET,220586168,10455,2022-05-11,INDIVIDUAL,N,40.818565,-73.918118
BRONX,2130763,101,LINCOLN AVENUE,220151948,10454,2021-02-10,PARTNERSHIP,N,40.807149,-73.929969
BRONX,2130551,721,ARNOW AVENUE,240299137,10467,2022-05-23,INDIVIDUAL,N,40.867886,-73.866481
BRONX,2130552,723,ARNOW AVENUE,240299146,10467,2022-05-23,INDIVIDUAL,N,40.867886,-73.866416
BRONX,2130578,382,EAST 159TH STREET,210181444,10451,2022-05-23,CORPORATION,N,40.82307,-73.914947
BRONX,2017461,114,EAST 198 STREET,210181989,10468,2022-05-25,INDIVIDUAL,N,40.870589,-73.891713
BRONX,2010077,813,ELSMERE PLACE,220729086,10460,2022-05-26,INDIVIDUAL,N,40.843169,-73.88831
BRONX,2084031,9,DASH PLACE,220152796,10463,2022-05-27,PARTNERSHIP,N,40.888319,-73.90388
BRONX,2130445,285,EAST 169 STREET,220721413,10456,2022-05-27,CORPORATION,N,40.835136,-73.912395
BRONX,2129225,883,BRYANT AVE,210182443,10474,2022-07-26,CORPORATION,N,40.819546,-73.886861
BRONX,2011872,16,WADE SQUARE,210181925,10457,2022-05-31,CORPORATION,N,40.85193,-73.891082
BRONX,2003480,1058,UNIVERSITY AVENUE,220638237,10452,2022-05-31,INDIVIDUAL,N,40.834836,-73.930157
BRONX,2046057,1616,CROSBY AVENUE,240301017,10461,2022-06-01,INDIVIDUAL,N,40.84438,-73.83057
BRONX,2129483,2680,MORRIS AVENUE,210179545,10468,2022-06-01,PARTNERSHIP,N,40.867472,-73.895959
BRONX,2129402,1672,CASTLE HILL AVENUE,220633465,10462,2022-06-03,CORPORATION,N,40.839355,-73.852765
BRONX,2130446,1297,COLLEGE AVENUE,220721404,10456,2022-06-13,CORPORATION,N,40.835257,-73.911928
