borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
MANHATTAN,1056547,2686,BROADWAY,121207354,10025,2022-05-11,PARTNERSHIP,N,40.798817,-73.96874
MANHATTAN,1812187,140,HILLSIDE AVENUE,121189524,10040,2022-05-11,CORPORATION,N,40.860296,-73.926125
MANHATTAN,1806993,76,WEST 105TH STREET,121208380,10025,2022-05-12,PARTNERSHIP,N,40.798286,-73.962716
MANHATTAN,1024945,312,WEST 43RD STREET,121207309,10036,2022-05-24,CORPORATION,N,40.758182,-73.989973
MANHATTAN,1058625,217,WEST 123 STREET,123112648,10027,2022-06-06,PARTNERSHIP,N,40.808014,-73.950078
MANHATTAN,1047944,126,EAST 86TH STREET,121208861,10028,2022-05-26,CORPORATION,N,40.77969,-73.956064
MANHATTAN,1813138,205,CABRINI BOULEVARD,121208709,10033,2022-06-09,PARTNERSHIP,N,40.854336,-73.938895
MANHATTAN,1033711,270,WEST 96 STREET,121209502,10025,2022-06-16,CORPORATION,N,40.794981,-73.972584
MANHATTAN,1090663,165,BROOME STREET,121205926,10002,2022-06-16,CORPORATION,N,40.71672,-73.985646
MANHATTAN,1060461,210,WEST 145TH STREET,121204044,10039,2022-06-16,PARTNERSHIP,N,40.821922,-73.93977
MANHATTAN,1019607,200,EAST 20TH STREET,121188936,10003,2022-06-30,PARTNERSHIP,N,40.736915,-73.984422
MANHATTAN,1091733,331,EAST 82 STREET,123545262,10028,2019-12-23,CORPORATION,N,40.774935,-73.95276
MANHATTAN,1091732,2555,BROADWAY,121207014,10025,2020-11-18,PARTNERSHIP,N,40.794451,-73.971945
MANHATTAN,1076207,550,10TH AVE,121209281,10018,2022-07-14,CORPORATION,N,40.758732,-73.996112
MANHATTAN,1058308,168,WEST 136 STREET,123172716,10030,2022-07-18,CORPORATION,N,40.815514,-73.942142
MANHATTAN,1091699,42,EAST 2 STREET,121208610,10003,2022-07-20,CORPORATION,N,40.724891,-73.990234
MANHATTAN,1090977,350,WEST 45TH STREET,121204188,10036,2019-02-13,CORPORATION,N,40.759761,-73.989835
MANHATTAN,1089801,225,WEST 140 STREET,121190273,10030,2018-11-08,INDIVIDUAL,N,40.818887,-73.942353
