borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
QUEENS,4285904,145-90,183RD STREET,440598211,11413,2022-05-16,INDIVIDUAL,N,40.662951,-73.763061
QUEENS,4001509,45-29,47 ST.,421921460,11377,2022-06-01,CORPORATION,N,40.742275,-73.917908
QUEENS,4142370,75-14,137 STREET,440649096,11367,2022-05-19,INDIVIDUAL,N,40.72265,-73.824566
QUEENS,4000071,5-01,47 RD,440651572,11101,2022-05-25,INDIVIDUAL,N,40.745191,-73.955387
QUEENS,4209730,169-13,90 AVE,421607693,11432,2022-05-26,CORPORATION,N,40.70847,-73.791441
QUEENS,4020581,26-28,18 STREET,421663872,11102,2022-05-27,INDIVIDUAL,N,40.773475,-73.927239
QUEENS,4620762,150-27,SULLIVAN DRIVE,421256517,11357,2018-11-29,PARTNERSHIP,N,40.796847,-73.816284
QUEENS,4620771,150-32,SULLIVAN DRIVE,421306205,11357,2019-05-21,PARTNERSHIP,N,40.796893,-73.816117
QUEENS,4620766,150-18,SULLIVAN DRIVE,421306223,11357,2018-10-09,PARTNERSHIP,N,40.79668,-73.816667
QUEENS,4443190,119-21,83 AVE,420921024,11415,2016-10-18,INDIVIDUAL,N,40.708211,-73.832853
QUEENS,4620759,150-15,SULLIVAN DRIVE,421204529,11357,2017-11-22,PARTNERSHIP,N,40.796664,-73.816757
QUEENS,4620761,150-19,SULLIVAN DRIVE,421256508,11357,2017-11-28,PARTNERSHIP,N,40.796727,-73.816598
QUEENS,4620760,150-23,SULLIVAN DRIVE,421256544,11357,2017-12-14,PARTNERSHIP,N,40.796787,-73.816443
QUEENS,4620772,150-36,SULLIVAN DRIVE,421306492,11357,2019-06-27,PARTNERSHIP,N,40.797112,-73.815611
QUEENS,4620758,150-05,SULLIVAN DRIVE,421222457,11357,2019-06-28,PARTNERSHIP,N,40.796513,-73.817151
QUEENS,4620763,150-31,SULLIVAN DRIVE,421219443,11357,2019-07-08,PARTNERSHIP,N,40.79691,-73.816128
