borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
STATEN ISLAND,5174981,52,BURKE AVENUE,540195386,10314,2022-05-12,PARTNERSHIP,N,40.593267,-74.188737
STATEN ISLAND,5174979,48,BURKE AVENUE,540195368,10314,2022-05-20,PARTNERSHIP,N,40.593289,-74.188777
STATEN ISLAND,5174980,50,BURKE AVENUE,540195377,10314,2022-05-20,PARTNERSHIP,N,40.593278,-74.188759
STATEN ISLAND,5013482,84,PROSPECT STREET,520223641,10304,2022-06-01,CORPORATION,N,40.628541,-74.077081
STATEN ISLAND,5171608,109,YETMAN AVE,510113333,10307,2022-06-23,INDIVIDUAL,N,40.513346,-74.246802
STATEN ISLAND,5801875,475,BAY STREET,510115670,10304,2022-06-27,PARTNERSHIP,N,40.630517,-74.076637
STATEN ISLAND,5174821,88,ANDERSON STREET,540185832,10305,2022-06-28,INDIVIDUAL,N,40.615192,-74.0693
STATEN ISLAND,5028553,116,NORTHFIELD AVENUE,540194458,10303,2022-06-29,CORPORATION,N,40.637617,-74.168217
STATEN ISLAND,5174506,48,ERASTINA PL,520399658,10303,2022-07-05,CORPORATION,N,40.635339,-74.156087
STATEN ISLAND,5027463,46,ERASTINA PL,520399649,10303,2022-07-05,CORPORATION,N,40.635383,-74.156084
STATEN ISLAND,5169145,57,BILLOP AVENUE,520295760,10307,2022-07-11,CORPORATION,N,40.500092,-74.238724
STATEN ISLAND,5048435,191,WILSON STREET,520281711,10304,2022-07-29,INDIVIDUAL,N,40.594098,-74.093288
STATEN ISLAND,5171078,32,COUGHLAN AVENUE,520337252,10310,2018-11-08,INDIVIDUAL,N,40.62466,-74.112827
STATEN ISLAND,5171603,109,HILLCREST AVENUE,520370919,10308,2019-04-11,CORPORATION,N,40.544664,-74.150241
STATEN ISLAND,5054101,101,BEACHVIEW AVENUE,520312279,10306,2019-02-11,INDIVIDUAL,N,40.577275,-74.096774
STATEN ISLAND,5170236,127,RATHBUN AVENUE,520324756,10312,2019-02-11,CORPORATION,N,40.546901,-74.182378
STATEN ISLAND,5170521,324,KISWICK STREET,520322650,10306,2018-10-12,PARTNERSHIP,N,40.571295,-74.098868
STATEN ISLAND,5170520,322,KISWICK STREET,520322641,10306,2018-10-12,PARTNERSHIP,N,40.571328,-74.098835
STATEN ISLAND,5169325,284,ALTER AVENUE,520273944,10305,2019-02-22,CORPORATION,N,40.589123,-74.091657
STATEN ISLAND,5171599,151,GELDNER  AVE,520370205,10306,2019-05-16,INDIVIDUAL,N,40.579078,-74.120101
STATEN ISLAND,5174927,280,ALTER AVENUE,520273953,10305,2019-02-22,CORPORATION,N,40.58915,-74.091715
STATEN ISLAND,5171600,155,GELDNER  AVE,520370214,10306,2019-05-16,INDIVIDUAL,N,40.579122,-74.120007
STATEN ISLAND,5083224,26,VAIL AVENUE,520375157,10309,2019-05-16,CORPORATION,N,40.516579,-74.21132
STATEN ISLAND,5170731,51,NELSON AVENUE,520328128,10308,2018-11-13,PARTNERSHIP,N,40.548575,-74.150502
STATEN ISLAND,5170733,53,NELSON AVENUE,520328146,10308,2018-11-13,PARTNERSHIP,N,40.548537,-74.150494
STATEN ISLAND,5171022,55,NELSON AVENUE,520328164,10308,2018-11-13,PARTNERSHIP,N,40.548495,-74.150487
STATEN ISLAND,5169734,419,GUYON AVENUE,520316140,10306,2018-11-14,CORPORATION,N,40.557517,-74.115279
STATEN ISLAND,5170967,4846,HYLAN BLVD,520365989,10312,2019-03-26,INDIVIDUAL,N,40.526744,-74.167697
STATEN ISLAND,5861958,12,BROOK AVENUE,500863283,10306,2019-02-12,PARTNERSHIP,N,40.559807,-74.122708
STATEN ISLAND,5170219,2184,SOUTH SERVICE ROAD,520352715,10309,2018-11-14,INDIVIDUAL,N,40.524081,-74.222713
STATEN ISLAND,5170058,30,LEASON PLACE,520304536,10314,2019-03-20,CORPORATION,N,40.583731,-74.150376
STATEN ISLAND,5170052,2,LEASON PLACE,520304545,10314,2019-03-20,CORPORATION,N,40.583435,-74.149792
STATEN ISLAND,5170200,10,LEASON PLACE,520304493,10314,2019-03-20,CORPORATION,N,40.58352,-74.149958
STATEN ISLAND,5171451,249,MORELAND STREET,520359246,10306,2019-05-15,CORPORATION,N,40.573291,-74.098143
STATEN ISLAND,5171453,245,MORELAND STREET,520359264,10306,2019-05-15,CORPORATION,N,40.573373,-74.098068
STATEN ISLAND,5171017,203,NORWAY AVENUE,520355963,10305,2019-01-24,CORPORATION,N,40.593497,-74.078582
STATEN ISLAND,5092716,21,FINLAY AVENUE,520356016,10309,2018-11-16,INDIVIDUAL,N,40.520106,-74.205335
STATEN ISLAND,5171131,123,GRIMSBY STREET,520353215,10306,2019-04-11,CORPORATION,N,40.575178,-74.093053
STATEN ISLAND,5171283,95,MANEE AVENUE,520375512,10309,2019-05-06,CORPORATION,N,40.522816,-74.206491
STATEN ISLAND,5171454,243,MORELAND STREET,520359273,10306,2019-05-15,CORPORATION,N,40.573415,-74.098032
STATEN ISLAND,5151742,11,HAVEN ESPLANADE,520373916,10301,2019-05-31,CORPORATION,N,40.632897,-74.092124
STATEN ISLAND,5171132,125,GRIMSBY STREET,520353224,10306,2019-04-11,CORPORATION,N,40.575143,-74.093085
STATEN ISLAND,5164558,38,GREENWAY AVENUE,520221420,10314,2019-04-01,CORPORATION,N,40.589112,-74.146996
