geotype,borough,geoid,bct2020,pop_20,pop_20p,hhpop_20,hhpop_20p,gq_20,gq_20p,instgq_20,instgq_20p,avhhsz_20,popu18_20,popu18_20p,hsp_20,hsp_20p,wnh_20,wnh_20p,bnh_20,bnh_20p,anh_20,anh_20p,onh_20,onh_20p,nh2pl_20,nh2pl_20p,hunits_20,hunits_20p,ochu_20,ochu_20p,vachu_20,vachu_20p
CT2020,Bronx,36005000100,2000100,3772,1.0,27,0.006999999999999999,"3,745",0.993,"3,745",0.993,0.0,12,0.003,"1,259",0.33399999999999996,260,0.069,"2,172",0.5760000000000001,59,0.016,12,0.003,10,0.003,1,1.0,0,0.0,1,1.0
CT2020,Bronx,36005000200,2000200,4779,1.0,"4,771",0.998,8,0.002,0,0.0,3.15,"1,065",0.223,"3,173",0.664,152,0.032,"1,011",0.212,202,0.042,115,0.024,126,0.026000000000000002,1594,1.0,"1,517",0.9520000000000001,77,0.048
CT2020,Bronx,36005000400,2000400,6272,1.0,"6,258",0.998,14,0.002,0,0.0,2.97,"1,337",0.213,"3,972",0.633,238,0.038,"1,592",0.254,230,0.037000000000000005,91,0.015,149,0.024,2200,1.0,"2,110",0.9590000000000001,90,0.040999999999999995
CT2020,Bronx,36005001600,2001600,5795,1.0,"5,565",0.96,230,0.04,205,0.035,2.73,"1,251",0.21600000000000003,"3,479",0.6,121,0.021,"1,884",0.325,122,0.021,81,0.013999999999999999,108,0.019,2129,1.0,"2,042",0.9590000000000001,87,0.040999999999999995
CT2020,Bronx,36005001901,2001901,2292,1.0,"2,258",0.985,34,0.015,0,0.0,2.29,567,0.247,"1,089",0.475,250,0.109,803,0.35,39,0.017,35,0.015,76,0.033,1049,1.0,988,0.9420000000000001,61,0.057999999999999996
CT2020,Bronx,36005001902,2001902,1613,1.0,"1,045",0.648,568,0.35200000000000004,0,0.0,2.16,293,0.182,854,0.529,165,0.102,524,0.325,13,0.008,21,0.013000000000000001,36,0.022000000000000002,523,1.0,484,0.925,39,0.075
CT2020,Bronx,36005001903,2001903,2,1.0,2,1.0,0,0.0,0,0.0,0.67,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0
CT2020,Bronx,36005001904,2001904,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CT2020,Bronx,36005002001,2002001,5007,1.0,"4,855",0.97,152,0.03,0,0.0,2.6,"1,394",0.278,"3,023",0.604,68,0.013999999999999999,"1,755",0.35100000000000003,21,0.004,59,0.012,81,0.016,1895,1.0,"1,864",0.9840000000000001,31,0.016
CT2020,Bronx,36005002002,2002002,4584,1.0,"4,584",1.0,0,0.0,0,0.0,2.94,"1,140",0.249,"3,058",0.667,66,0.013999999999999999,"1,169",0.255,78,0.017,112,0.024,101,0.022000000000000002,1624,1.0,"1,561",0.961,63,0.039
CT2020,Bronx,36005002300,2002300,4742,1.0,"4,735",0.9990000000000001,7,0.001,0,0.0,2.54,"1,265",0.267,"3,045",0.642,67,0.013999999999999999,"1,473",0.311,19,0.004,57,0.012,81,0.017,1901,1.0,"1,867",0.982,34,0.018000000000000002
CT2020,Bronx,36005002400,2002400,6,1.0,6,1.0,0,0.0,0,0.0,3.0,1,0.16699999999999998,3,0.5,1,0.16699999999999998,0,0.0,0,0.0,0,0.0,2,0.33299999999999996,2,1.0,2,1.0,0,0.0
CT2020,Bronx,36005002500,2002500,5442,1.0,"5,342",0.982,100,0.018000000000000002,0,0.0,2.85,"1,491",0.27399999999999997,"4,135",0.76,105,0.019,"1,048",0.193,53,0.01,26,0.005,75,0.013999999999999999,1958,1.0,"1,872",0.956,86,0.044000000000000004
CT2020,Bronx,36005002701,2002701,3080,1.0,"3,038",0.986,42,0.013999999999999999,0,0.0,2.78,910,0.295,"2,063",0.67,35,0.011000000000000001,900,0.292,28,0.009000000000000001,15,0.005,39,0.013000000000000001,1206,1.0,"1,093",0.9059999999999999,113,0.094
CT2020,Bronx,36005002702,2002702,4995,1.0,"4,373",0.875,622,0.125,0,0.0,2.9,"1,571",0.315,"3,318",0.664,94,0.019,"1,398",0.28,55,0.011000000000000001,38,0.008,92,0.018000000000000002,1576,1.0,"1,510",0.958,66,0.042
CT2020,Bronx,36005002800,2002800,5853,1.0,"5,845",0.9990000000000001,8,0.001,0,0.0,2.26,"1,045",0.179,"1,647",0.281,89,0.015,"3,889",0.664,38,0.006,39,0.006999999999999999,151,0.026000000000000002,2629,1.0,"2,581",0.982,48,0.018000000000000002
CT2020,Bronx,36005003100,2003100,2964,1.0,"2,964",1.0,0,0.0,0,0.0,2.73,916,0.309,"1,780",0.601,35,0.012,"1,014",0.342,58,0.02,32,0.011000000000000001,45,0.015,1120,1.0,"1,086",0.97,34,0.03
CT2020,Bronx,36005003300,2003300,3689,1.0,"3,521",0.9540000000000001,168,0.046,0,0.0,2.92,"1,038",0.281,"2,453",0.665,55,0.015,"1,066",0.289,16,0.004,30,0.008,69,0.019,1288,1.0,"1,207",0.937,81,0.063
CT2020,Bronx,36005003500,2003500,3726,1.0,"3,654",0.981,72,0.019,0,0.0,2.85,959,0.257,"2,592",0.696,122,0.033,924,0.248,25,0.006999999999999999,32,0.009000000000000001,31,0.008,1360,1.0,"1,284",0.9440000000000001,76,0.055999999999999994
CT2020,Bronx,36005003700,2003700,340,1.0,306,0.9,34,0.1,0,0.0,2.39,87,0.256,194,0.5710000000000001,5,0.015,123,0.36200000000000004,0,0.0,6,0.018000000000000002,12,0.035,136,1.0,128,0.941,8,0.059000000000000004
CT2020,Bronx,36005003800,2003800,1683,1.0,"1,497",0.889,186,0.111,0,0.0,2.91,521,0.31,"1,082",0.643,18,0.011000000000000001,475,0.282,49,0.028999999999999998,27,0.016,32,0.019,530,1.0,515,0.972,15,0.027999999999999997
CT2020,Bronx,36005003900,2003900,6345,1.0,"6,069",0.9570000000000001,276,0.043,0,0.0,2.97,"1,535",0.242,"5,107",0.805,249,0.039,823,0.13,37,0.006,65,0.01,64,0.01,2159,1.0,"2,041",0.945,118,0.055
CT2020,Bronx,36005004001,2004001,1739,1.0,"1,739",1.0,0,0.0,0,0.0,2.95,380,0.21899999999999997,740,0.426,125,0.07200000000000001,220,0.127,566,0.325,29,0.017,59,0.034,613,1.0,589,0.961,24,0.039
CT2020,Bronx,36005004100,2004100,6146,1.0,"6,109",0.9940000000000001,37,0.006,0,0.0,2.9,"1,698",0.276,"4,083",0.664,94,0.015,"1,819",0.29600000000000004,35,0.006,37,0.006,78,0.013000000000000001,2192,1.0,"2,109",0.9620000000000001,83,0.038
CT2020,Bronx,36005004200,2004200,7201,1.0,"7,168",0.995,33,0.005,0,0.0,2.56,"1,642",0.228,"4,313",0.599,90,0.012,"2,581",0.358,63,0.009000000000000001,47,0.006999999999999999,107,0.015,2843,1.0,"2,798",0.9840000000000001,45,0.016
CT2020,Bronx,36005004300,2004300,5883,1.0,"5,666",0.963,217,0.037000000000000005,0,0.0,2.68,"1,577",0.268,"4,174",0.71,130,0.022000000000000002,"1,409",0.24,43,0.006999999999999999,33,0.006,94,0.016,2198,1.0,"2,118",0.9640000000000001,80,0.036000000000000004
CT2020,Bronx,36005004400,2004400,4642,1.0,"4,467",0.9620000000000001,175,0.038,175,0.038,2.61,"1,138",0.245,"2,809",0.605,88,0.019,"1,437",0.31,180,0.039,54,0.012,74,0.016,1752,1.0,"1,711",0.977,41,0.023
CT2020,Bronx,36005004600,2004600,1976,1.0,"1,900",0.9620000000000001,76,0.038,0,0.0,2.61,516,0.261,"1,187",0.601,53,0.027000000000000003,673,0.341,4,0.002,14,0.006999999999999999,45,0.023,743,1.0,728,0.98,15,0.02
CT2020,Bronx,36005004800,2004800,4184,1.0,"4,021",0.961,163,0.039,0,0.0,3.03,"1,093",0.261,"3,263",0.78,64,0.015,646,0.154,67,0.016,95,0.023,49,0.012,1358,1.0,"1,328",0.978,30,0.022000000000000002
