bin_no,house_no,street_name,job_no,zip_code,job_start_date,latitude,longitude,subway_count_tenth_mi,subway_count_half_mi,subway_count_one_mi,subway_count_two_five_mi,hist_dist_name,park_count_tenth_mi,park_count_half_mi,park_count_one_mi,park_count_two_five_mi,closest_park,name_closest_park,complaints2014_15,complaints2015_16,complaints2016_17,complaints2017_18,complaints2018_19,complaints2019_20,total_complaints,borough_BROOKLYN,borough_MANHATTAN,borough_QUEENS,borough_STATEN ISLAND,owners_business_type_CORPORATION,owners_business_type_HPD,owners_business_type_INDIVIDUAL,owners_business_type_NYC AGENCY,owners_business_type_NYCHA/HHC,owners_business_type_OTHER,owners_business_type_OTHER GOV'T AGENCY,owners_business_type_PARTNERSHIP,non-profit_Y,in_hist_dist_1
1056547,2686,BROADWAY,121207354,10025,2022-05-11,40.798817,-73.96874,5,15,42,195,none,2,17,33,214,0.0,Broadway Malls,346,392,358,428,365,366,2255,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1812187,140,HILLSIDE AVENUE,121189524,10040,2022-05-11,40.860296,-73.926125,2,15,34,153,none,1,10,42,280,0.0494251430633338,Highbridge Park,145,140,116,115,94,91,701,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2823631,368,EAST 152 STREET,220586168,10455,2022-05-11,40.818565,-73.918118,0,9,60,215,none,1,32,93,418,0.0862849651194988,Melrose Playground,291,327,254,240,243,223,1578,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3429007,3410,FARRAGUT ROAD,321588215,11210,2022-05-18,40.636513,-73.943944,0,11,13,95,none,0,3,15,153,0.1416441675851264,Nostrand Playground,66,50,44,45,56,32,293,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3121674,1457,FLATBUSH AVENUE,321827163,11210,2022-05-11,40.634773,-73.949721,0,11,20,87,none,0,3,14,127,0.1990417107797937,Nostrand Playground,126,117,103,107,100,89,642,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3122029,150,TERRACE PLACE,340796151,11218,2022-05-16,40.655274,-73.976642,0,10,31,202,none,2,15,29,186,0.0843668230921365,Park,16,17,15,25,19,20,112,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3815647,2922,FULTON ST,322039888,11207,2022-05-12,40.679221,-73.886894,2,8,34,119,none,0,23,62,232,0.1379578170974343,Sperandeo Brothers Playground,125,154,127,125,84,99,714,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5174981,52,BURKE AVENUE,540195386,10314,2022-05-12,40.593267,-74.188737,0,0,0,0,none,1,6,10,32,0.0947759266468195,Meredith Woods,8,8,12,4,14,9,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1806993,76,WEST 105TH STREET,121208380,10025,2022-05-12,40.798286,-73.962716,0,14,38,197,none,3,19,55,233,0.0187961122930285,La Perla Garden,237,206,244,193,170,170,1220,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3256553,842,LIBERTY AVE,321327863,11208,2022-06-03,40.677058,-73.878443,0,13,27,107,none,1,24,64,211,0.0200100903884191,Shield Of Faith,58,47,68,72,54,61,360,1,0,0,0,0,0,1,0,0,0,0,0,0,0
