,longitude,latitude,point
0,-73.85489261102316,40.78248031228739,POINT (-73.85489261102316 40.78248031228739)
1,-73.89386045158598,40.75528778868644,POINT (-73.89386045158598 40.75528778868644)
2,-73.81775077819175,40.71925356635326,POINT (-73.81775077819175 40.71925356635326)
3,-73.82470248869488,40.77163421976302,POINT (-73.82470248869488 40.77163421976302)
4,-73.86383157649665,40.77388735309459,POINT (-73.86383157649665 40.77388735309459)
5,-73.77923283107407,40.70606049715328,POINT (-73.77923283107407 40.70606049715328)
6,-73.76530406881702,40.596809821409344,POINT (-73.76530406881702 40.596809821409344)
7,-73.79907768721188,40.64234337903203,POINT (-73.79907768721188 40.64234337903203)
8,-73.78009651755542,40.76205295562828,POINT (-73.78009651755542 40.76205295562828)
9,-73.89379608151044,40.77604234899062,POINT (-73.89379608151044 40.77604234899062)
10,-73.8920573861947,40.73761212115608,POINT (-73.8920573861947 40.73761212115608)
12,-73.75544124747417,40.672962849392455,POINT (-73.75544124747417 40.672962849392455)
13,-73.84063067677137,40.66897994133984,POINT (-73.84063067677137 40.66897994133984)
14,-73.83664190519029,40.657443351213736,POINT (-73.83664190519029 40.657443351213736)
15,-73.89309168215388,40.72787269328183,POINT (-73.89309168215388 40.72787269328183)
16,-73.79371466005516,40.78550700179859,POINT (-73.79371466005516 40.78550700179859)
17,-73.80020002517001,40.7556566075669,POINT (-73.80020002517001 40.7556566075669)
18,-73.76907993829957,40.68762385062499,POINT (-73.76907993829957 40.68762385062499)
20,-73.73052945684267,40.6567925098767,POINT (-73.73052945684267 40.6567925098767)
21,-73.89829103404747,40.69454827902467,POINT (-73.89829103404747 40.69454827902467)
22,-73.76369323576141,40.606897083026304,POINT (-73.76369323576141 40.606897083026304)
23,-73.906483207708,40.7473625855884,POINT (-73.906483207708 40.7473625855884)
24,-73.78062883010406,40.67980430238735,POINT (-73.78062883010406 40.67980430238735)
26,-73.92114208877163,40.73544393541447,POINT (-73.92114208877163 40.73544393541447)
27,-73.82742485369864,40.65022728032688,POINT (-73.82742485369864 40.65022728032688)
30,-73.86438474067405,40.74063412966587,POINT (-73.86438474067405 40.74063412966587)
32,-73.73580707123867,40.76396969592683,POINT (-73.73580707123867 40.76396969592683)
33,-73.85670148524557,40.75554851001323,POINT (-73.85670148524557 40.75554851001323)
34,-73.77014796845027,40.76430201885334,POINT (-73.77014796845027 40.76430201885334)
35,-73.8923429519301,40.74890298298834,POINT (-73.8923429519301 40.74890298298834)
36,-73.72501169770933,40.73843617444692,POINT (-73.72501169770933 40.73843617444692)
37,-73.75184476276408,40.710280026181074,POINT (-73.75184476276408 40.710280026181074)
38,-73.88579755545565,40.72458834938272,POINT (-73.88579755545565 40.72458834938272)
39,-73.88025109653785,40.77818324071994,POINT (-73.88025109653785 40.77818324071994)
40,-73.7937743214534,40.6221228180394,POINT (-73.7937743214534 40.6221228180394)
41,-73.90260454580155,40.76998371303049,POINT (-73.90260454580155 40.76998371303049)
44,-73.90322066954286,40.56071799344913,POINT (-73.90322066954286 40.56071799344913)
45,-73.78996762713662,40.70510512794964,POINT (-73.78996762713662 40.70510512794964)
46,-73.77561568231428,40.63122093871211,POINT (-73.77561568231428 40.63122093871211)
47,-73.88307789034005,40.69892204015728,POINT (-73.88307789034005 40.69892204015728)
48,-73.92182142512722,40.74366446736955,POINT (-73.92182142512722 40.74366446736955)
49,-73.82795701640863,40.70192424043897,POINT (-73.82795701640863 40.70192424043897)
50,-73.75686894009442,40.73890875372462,POINT (-73.75686894009442 40.73890875372462)
52,-73.94398107219163,40.74076338184533,POINT (-73.94398107219163 40.74076338184533)
53,-73.80235197970663,40.67138933749483,POINT (-73.80235197970663 40.67138933749483)
54,-73.93432098857704,40.742629179398726,POINT (-73.93432098857704 40.742629179398726)
55,-73.81265693918623,40.68357389649983,POINT (-73.81265693918623 40.68357389649983)
56,-73.93397048507293,40.746136070308346,POINT (-73.93397048507293 40.746136070308346)
57,-73.80621817670952,40.76225714960981,POINT (-73.80621817670952 40.76225714960981)
58,-73.85379919105972,40.69693274417841,POINT (-73.85379919105972 40.69693274417841)
59,-73.84502973423653,40.71700563793687,POINT (-73.84502973423653 40.71700563793687)
60,-73.73631509140907,40.69975826942813,POINT (-73.73631509140907 40.69975826942813)
61,-73.8523652065762,40.79032762584268,POINT (-73.8523652065762 40.79032762584268)
62,-73.86570886430502,40.725891497752265,POINT (-73.86570886430502 40.725891497752265)
63,-73.89797337971073,40.78560807485351,POINT (-73.89797337971073 40.78560807485351)
65,-73.89886311350695,40.70180778677701,POINT (-73.89886311350695 40.70180778677701)
66,-73.84196715355233,40.7874411995071,POINT (-73.84196715355233 40.7874411995071)
