borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude
MANHATTAN,1056547,2686,BROADWAY,121207354,10025,2022-05-11,PARTNERSHIP,N,40.798817,-73.96874
MANHATTAN,1812187,140,HILLSIDE AVENUE,121189524,10040,2022-05-11,CORPORATION,N,40.860296,-73.926125
BRONX,2823631,368,EAST 152 STREET,220586168,10455,2022-05-11,INDIVIDUAL,N,40.818565,-73.918118
BROOKLYN,3429007,3410,FARRAGUT ROAD,321588215,11210,2022-05-18,INDIVIDUAL,N,40.636513,-73.943944
BROOKLYN,3121674,1457,FLATBUSH AVENUE,321827163,11210,2022-05-11,CORPORATION,N,40.634773,-73.949721
BROOKLYN,3122029,150,TERRACE PLACE,340796151,11218,2022-05-16,INDIVIDUAL,N,40.655274,-73.976642
BROOKLYN,3815647,2922,FULTON ST,322039888,11207,2022-05-12,CORPORATION,N,40.679221,-73.886894
STATEN ISLAND,5174981,52,BURKE AVENUE,540195386,10314,2022-05-12,PARTNERSHIP,N,40.593267,-74.188737
MANHATTAN,1806993,76,WEST 105TH STREET,121208380,10025,2022-05-12,PARTNERSHIP,N,40.798286,-73.962716
BROOKLYN,3256553,842,LIBERTY AVE,321327863,11208,2022-06-03,INDIVIDUAL,N,40.677058,-73.878443
BROOKLYN,3428945,249,EVERGREEN AVENUE,321594501,11221,2022-05-12,CORPORATION,Y,40.695955,-73.926905
QUEENS,4285904,145-90,183RD STREET,440598211,11413,2022-05-16,INDIVIDUAL,N,40.662951,-73.763061
BROOKLYN,3429391,2054,57ST,321368694,11204,2022-01-06,INDIVIDUAL,N,40.620366,-73.979943
BROOKLYN,3071059,27,MONTROSE AVENUE,321595458,11206,2022-05-18,CORPORATION,N,40.706779,-73.94909
QUEENS,4001509,45-29,47 ST.,421921460,11377,2022-06-01,CORPORATION,N,40.742275,-73.917908
BROOKLYN,3428731,3408,FARRAGUT ROAD,321588297,11210,2022-05-18,INDIVIDUAL,N,40.63651,-73.943959
QUEENS,4142370,75-14,137 STREET,440649096,11367,2022-05-19,INDIVIDUAL,N,40.72265,-73.824566
BROOKLYN,3180980,1615,CEDAR STREET,321649908,11230,2022-05-19,CORPORATION,N,40.617492,-73.95875
