borough,bin_no,house_no,street_name,job_no,zip_code,job_start_date,owners_business_type,non-profit,latitude,longitude,point,in_nyc,in_borough,bct2020,total_complaints,closest_subway,closest_subway_line,subway_count_tenth_mi,subway_count_half_mi,subway_count_one_mi,subway_count_two_five_mi,hist_dist_name,in_hist_dist,closest_park,name_closest_park,park_count_tenth_mi,park_count_half_mi,park_count_one_mi,park_count_two_five_mi,pop_20,hhpop_20p,gq_20p,instgq_20p,avhhsz_20,popu18_20p,hsp_20p,wnh_20p,bnh_20p,anh_20p,onh_20p,nh2pl_20p,hunits_20,ochu_20p,vachu_20p
MANHATTAN,1056547,2686,BROADWAY,121207354,10025,2022-05-11,PARTNERSHIP,N,40.798817,-73.96874,POINT (-73.96874 40.798817),1.0,MANHATTAN,1019100,2255,0.03341796646601984,1,5,15,42,195,none,0,0.0,Broadway Malls,2,17,33,214,9005,0.963,0.037,0.0,1.89,0.129,0.159,0.614,0.081,0.099,0.008,0.04,4951,0.924,0.076
MANHATTAN,1812187,140,HILLSIDE AVENUE,121189524,10040,2022-05-11,CORPORATION,N,40.860296,-73.926125,POINT (-73.926125 40.860296),1.0,MANHATTAN,1028300,701,0.08562069859359862,1,2,15,34,153,none,0,0.04942514306333387,Highbridge Park,1,10,42,280,7740,0.998,0.002,0.0,2.3,0.153,0.6729999999999999,0.1889999999999999,0.066,0.0409999999999999,0.009,0.022,3517,0.957,0.043
MANHATTAN,1091669,37,HILLSIDE AVENUE,121205445,10040,2021-02-19,PARTNERSHIP,N,40.858508,-73.929532,POINT (-73.929532 40.858508),1.0,MANHATTAN,1028300,546,0.1773082811629932,A,0,6,35,146,none,0,0.11587129447350435,Fort Tryon Park,0,11,41,275,7740,0.998,0.002,0.0,2.3,0.153,0.6729999999999999,0.1889999999999999,0.066,0.0409999999999999,0.009,0.022,3517,0.957,0.043
BRONX,2823631,368,EAST 152 STREET,220586168,10455,2022-05-11,INDIVIDUAL,N,40.818565,-73.918118,POINT (-73.918118 40.818565),1.0,BRONX,2006700,1578,0.16726993997383102,2-5,0,9,60,215,none,0,0.08628496511949882,Melrose Playground,1,32,93,418,6893,0.979,0.021,0.0,2.85,0.264,0.71,0.017,0.245,0.008,0.01,0.011,2439,0.97,0.03
BRONX,2129278,418,EAST 153 STREET,220593463,10455,2018-02-09,CORPORATION,N,40.818742,-73.915997,POINT (-73.915997 40.818742),1.0,BRONX,2006700,2368,0.19665584421789756,2-5,0,12,61,216,none,0,0.1341171343288594,P.S. 29 Ballfield,0,32,90,422,6893,0.979,0.021,0.0,2.85,0.264,0.71,0.017,0.245,0.008,0.01,0.011,2439,0.97,0.03
BRONX,2001684,686,COURTLANDT AVENUE,220651104,10451,2020-01-23,CORPORATION,N,40.819756,-73.918102,POINT (-73.918102 40.819756),1.0,BRONX,2006700,1524,0.2530483751084363,2-5,0,8,58,218,none,0,0.02317761690130324,Melrose Playground,1,30,92,419,6893,0.979,0.021,0.0,2.85,0.264,0.71,0.017,0.245,0.008,0.01,0.011,2439,0.97,0.03
BROOKLYN,3429007,3410,FARRAGUT ROAD,321588215,11210,2022-05-18,INDIVIDUAL,N,40.636513,-73.943944,POINT (-73.943944 40.636513),1.0,BROOKLYN,3078400,293,0.3187071432383424,2-5,0,11,13,95,none,0,0.1416441675851264,Nostrand Playground,0,3,15,153,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3428731,3408,FARRAGUT ROAD,321588297,11210,2022-05-18,INDIVIDUAL,N,40.63651,-73.943959,POINT (-73.943959 40.63651),1.0,BROOKLYN,3078400,293,0.31798421067968513,2-5,0,11,13,95,none,0,0.14095904428237702,Nostrand Playground,0,3,15,152,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3428839,1595,NEW YORK AVENUE,321588572,11210,2022-06-09,INDIVIDUAL,N,40.633579,-73.944804,POINT (-73.944804 40.633579),1.0,BROOKLYN,3078400,311,0.1547329283696824,2-5,0,9,16,77,none,0,0.2314632136719848,Nostrand Playground,0,3,15,131,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3428759,1595,NEW YORK AVENUE,321588563,11210,2022-07-01,INDIVIDUAL,N,40.633579,-73.944804,POINT (-73.944804 40.633579),1.0,BROOKLYN,3078400,311,0.1547329283696824,2-5,0,9,16,77,none,0,0.2314632136719848,Nostrand Playground,0,3,15,131,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3114064,1565,NEW YORK AVENUE,321836064,11210,2019-05-15,PARTNERSHIP,N,40.63477,-73.944933,POINT (-73.944933 40.63477),1.0,BROOKLYN,3078400,287,0.1934311924513158,2-5,0,11,15,79,none,0,0.16919756563379984,Nostrand Playground,0,3,15,133,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3206048,860,EAST 35TH STREET,321367711,11210,2017-03-07,PARTNERSHIP,N,40.633622,-73.942916,POINT (-73.942916 40.633622),1.0,BROOKLYN,3078400,209,0.25505921134863685,2-5,0,8,13,78,none,0,0.2833313647391911,Nostrand Playground,0,3,15,138,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3421784,862,EAST 35TH STREET,321367702,11210,2017-03-07,PARTNERSHIP,N,40.633586,-73.942913,POINT (-73.942913 40.633586),1.0,BROOKLYN,3078400,209,0.25457763504587444,2-5,0,8,13,78,none,0,0.282756647228751,Amersfort Park,0,3,15,138,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
BROOKLYN,3421995,1517,NEW YORK AVE,321407535,11210,2017-03-21,INDIVIDUAL,N,40.635638,-73.945026,POINT (-73.945026 40.635638),1.0,BROOKLYN,3078400,257,0.23113224562718368,2-5,0,11,14,85,none,0,0.12579655053249786,Nostrand Playground,0,3,15,136,2441,1.0,0.0,0.0,2.95,0.166,0.089,0.0559999999999999,0.75,0.016,0.025,0.064,882,0.938,0.062
